n,average_call_loss_rate
370,0.85537
371,0.92655
372,0.87127
373,0.87798
374,0.85767
375,0.79018
376,0.8847800000000001
377,0.8067599999999999
378,0.86852
379,0.8552700000000002
380,0.8761000000000001
381,0.8655000000000002
382,0.87782
383,0.81379
384,0.90815
385,0.8000700000000001
386,0.83064
387,0.85251
388,0.8480399999999999
389,0.8678000000000001
390,0.89226
391,0.85924
392,0.8051600000000001
393,0.84649
394,0.82789
395,0.87264
396,0.8899099999999999
397,0.88056
398,0.9285
399,0.83391
400,0.84705
401,0.84785
402,0.83051
403,0.79722
404,0.82445
405,0.85107
406,0.83542
407,0.85795
408,0.81953
409,0.8685500000000002
410,0.90765
411,0.7937000000000001
412,0.82958
413,0.8579700000000001
414,0.8663000000000001
415,0.82684
416,0.8177099999999999
417,0.86284
418,0.8225
419,0.7715
420,0.82739
421,0.80983
422,0.85009
423,0.8561500000000001
424,0.9023199999999999
425,0.80876
426,0.83087
427,0.86585
428,0.8798999999999999
429,0.8936300000000001
430,0.87669
431,0.8492900000000001
432,0.7967100000000001
433,0.81349
434,0.88161
435,0.9001999999999999
436,0.92135
437,0.74905
438,0.7944399999999998
439,0.8623899999999999
440,0.8661
441,0.86539
442,0.89573
443,0.8794099999999998
444,0.84543
445,0.92418
446,0.8396399999999999
447,0.83857
448,0.8362700000000001
449,0.8400700000000001
450,0.76454
451,0.82954
452,0.9012400000000002
453,0.82707
454,0.8813400000000001
455,0.86561
456,0.83393
457,0.84961
458,0.84123
459,0.84863
460,0.8741900000000001
461,0.8615200000000002
462,0.8361899999999999
463,0.8191900000000001
464,0.85673
465,0.8116499999999999
466,0.8757199999999999
467,0.8893899999999999
468,0.87278
469,0.85258
470,0.88644
471,0.88933
472,0.8267000000000001
473,0.8882200000000001
474,0.8484300000000001
475,0.8486500000000001
476,0.8182300000000001
477,0.93262
478,0.8911
479,0.8677199999999999
480,0.8645800000000001
481,0.86799
482,0.8250299999999999
483,0.86251
484,0.83522
485,0.94047
486,0.8786200000000001
487,0.8716999999999999
488,0.86488
489,0.82596
490,0.86492
491,0.89415
492,0.8643700000000001
493,0.8668899999999999
494,0.89477
495,0.9038799999999998
496,0.86701
497,0.8679500000000001
498,0.8918799999999999
499,0.8262599999999999
500,0.9486600000000001
501,0.83507
502,0.80711
503,0.89406
504,0.8738100000000001
505,0.8834200000000001
506,0.8513400000000001
507,0.8791
508,0.83965
509,0.9154
510,0.82358
511,0.8882200000000001
512,0.8177999999999999
513,0.90385
514,0.85322
515,0.8964000000000001
516,0.91014
517,0.84223
518,0.87576
519,0.8925600000000001
520,0.89428
521,0.83454
522,0.91242
523,0.8427899999999999
524,0.8232099999999999
525,0.89778
526,0.89556
527,0.9316500000000001
528,0.8699300000000001
529,0.8545999999999999
530,0.8807500000000001
531,0.8808199999999999
532,0.8835
533,0.8825799999999999
534,0.8829099999999999
535,0.89717
536,0.8869300000000001
537,0.90717
538,0.8868199999999999
539,0.87171
540,0.9212
541,0.83873
542,0.82928
543,0.8792199999999999
